batteryActivityId,batteryId,doneBy,notes,updatedFields,createdOn,status
1,3,18,Serial Number Changed.,"[""Battery Endpoint"",""Warranty Start Date"",""Warranty Duration""]",2025-04-14 15:07:01,1
2,2,18,testing Purpose,"[""Battery Endpoint"",""Warranty Start Date"",""Warranty Duration""]",2025-04-14 15:07:47,1
3,10,18,test,"[""Warranty Start Date"",""Warranty Duration""]",2025-04-15 10:34:36,1
4,10,18,test,"[""Warranty Start Date"",""Warranty Duration""]",2025-04-15 10:35:01,1
5,10,18,test,"[""Warranty Start Date"",""Warranty Duration""]",2025-04-15 10:35:15,1
6,11,18,test,"[""Warranty Start Date"",""Warranty Duration""]",2025-04-15 10:35:26,1
7,10,18,test,"[""Warranty Start Date"",""Warranty Duration""]",2025-04-15 10:35:44,1
8,11,18,test,"[""Warranty Start Date"",""Warranty Duration""]",2025-04-15 10:39:51,1
9,11,18,"On the Battery List page, the data is displayed correctly. However, when editing the second entry—specifically the date fields or warranty duration—the entry automatically jumps to the first position.","[""Warranty Start Date"",""Warranty Duration""]",2025-04-15 10:54:41,1
10,11,18,"On the Battery List page, the data is displayed correctly. However, when editing the second entry—specifically the date fields or warranty duration—the entry automatically jumps to the first position.","[""Warranty Start Date"",""Warranty Duration""]",2025-04-15 10:54:47,1
11,11,18,"On the Battery List page, the data is displayed correctly. However, when editing the second entry—specifically the date fields or warranty duration—the entry automatically jumps to the first position.","[""Warranty Start Date"",""Warranty Duration""]",2025-04-15 10:54:55,1
12,11,18,"On the Battery List page, the data is displayed correctly. However, when editing the second entry—specifically the date fields or warranty duration—the entry automatically jumps to the first position.","[""Warranty Start Date"",""Warranty Duration""]",2025-04-15 10:55:03,1
13,11,18,"On the Battery List page, the data is displayed correctly. However, when editing the second entry—specifically the date fields or warranty duration—the entry automatically jumps to the first position.","[""Warranty Start Date"",""Warranty Duration""]",2025-04-15 10:55:09,1
14,11,18,"On the Battery List page, the data is displayed correctly. However, when editing the second entry—specifically the date fields or warranty duration—the entry automatically jumps to the first position.","[""Warranty Start Date"",""Warranty Duration""]",2025-04-15 10:55:15,1
15,11,18,"On the Battery List page, the data is displayed correctly. However, when editing the second entry—specifically the date fields or warranty duration—the entry automatically jumps to the first position.","[""Warranty Start Date"",""Warranty Duration""]",2025-04-15 10:55:22,1
16,11,18,"On the Battery List page, the data is displayed correctly. However, when editing the second entry—specifically the date fields or warranty duration—the entry automatically jumps to the first position.","[""Warranty Start Date"",""Warranty Duration""]",2025-04-15 10:55:30,1
17,11,20,"On the Battery List page, the data is displayed correctly. However, when editing the second entry—specifically the date fields or warranty duration—the entry automatically jumps to the first position.","[""Warranty Start Date"",""Warranty Duration""]",2025-04-15 10:56:26,1
18,11,20,"On the Battery List page, the data is displayed correctly. However, when editing the second entry—specifically the date fields or warranty duration—the entry automatically jumps to the first position.","[""Warranty Start Date"",""Warranty Duration""]",2025-04-15 10:57:10,1
19,10,18,test,"[""Battery Endpoint"",""Warranty Start Date"",""Warranty Duration""]",2025-04-15 11:43:58,1
20,2,15,testing,"[""Warranty Start Date"",""Warranty Duration""]",2025-04-15 11:45:12,1
21,2,15,sdafas,"[""Warranty Start Date"",""Warranty Duration""]",2025-04-15 11:46:14,1
22,2,15,sdafas,"[""Warranty Duration""]",2025-04-15 17:19:33,1
23,10,20,test,"[""Battery Endpoint"",""Warranty Start Date"",""Warranty Duration""]",2025-04-15 11:53:54,1
24,12,2,YES UPDATED  THE BATTERY WARRANTY DURATION.,"[""Warranty Start Date"",""Warranty Duration""]",2025-04-16 05:24:34,1
25,12,2,YES UPDATED  THE BATTERY WARRANTY DURATION.,"[""Warranty Duration""]",2025-04-16 05:25:42,1
26,12,2,YES UPDATED  THE BATTERY WARRANTY DURATION.,"[""Warranty Start Date"",""Warranty Duration""]",2025-04-16 05:25:59,1
27,12,20,updated the battery warranty start date,"[""Warranty Start Date"",""Warranty Duration""]",2025-04-16 05:41:59,1
28,13,64,test expiry,"[""Warranty Start Date"",""Warranty Duration""]",2025-04-16 07:27:16,1
29,14,15,,"[""Battery Created""]",2025-04-16 13:01:01,1
30,15,15,,"[""Battery Created""]",2025-04-17 03:59:47,1
31,14,15,s,"[""Battery Serial No"",""Warranty Duration""]",2025-04-17 10:26:51,1
32,15,15,s,"[""Battery Serial No"",""Warranty Duration""]",2025-04-17 10:28:01,1
33,13,15,w,"[""Battery Serial No"",""Warranty Duration""]",2025-04-17 10:28:56,1
34,10,15,s,"[""Battery Serial No"",""Warranty Duration""]",2025-04-17 10:29:19,1
35,14,15,a,"[""Battery Serial No"",""Warranty Duration""]",2025-04-17 10:29:47,1
36,1,15,d,"[""Battery Serial No"",""Warranty Duration""]",2025-04-17 10:31:16,1
37,14,15,s,"[""Battery Serial No"",""Warranty Duration""]",2025-04-17 10:32:10,1
38,10,15,d,"[""Battery Serial No"",""Warranty Duration""]",2025-04-17 10:34:37,1
39,3,15,tp,"[""Battery Serial No"",""Warranty Duration""]",2025-04-17 10:37:51,1
40,6,15,ss,"[""Battery Serial No"",""Warranty Duration""]",2025-04-17 10:38:12,1
41,11,18,test,"[""Battery Serial No"",""Warranty Duration""]",2025-04-17 11:03:21,1
42,11,18,test,"[""Battery Serial No"",""Warranty Duration""]",2025-04-17 11:03:42,1
43,6,18,testing,"[""Battery Serial No"",""Warranty Duration""]",2025-04-17 11:03:55,1
44,3,18,Testing Purpose,"[""Battery Serial No"",""Warranty Duration""]",2025-04-17 11:04:25,1
45,10,18,Testing Purpose,"[""Battery Serial No"",""Warranty Duration""]",2025-04-17 11:04:37,1
46,1,18,Testing Purpose,"[""Battery Serial No"",""Warranty Duration""]",2025-04-17 11:04:54,1
47,6,15,d,"[""Battery Serial No"",""Warranty Duration""]",2025-04-17 12:48:12,1
48,2,2,serial no updated to check the design issue.,"[""Battery Serial No"",""Warranty Duration""]",2025-04-18 05:02:10,1
49,2,2,checked,"[""Battery Serial No"",""Warranty Duration""]",2025-04-18 05:02:36,1
50,11,2,to check the sort order,"[""Warranty Start Date"",""Warranty Duration""]",2025-04-18 05:28:27,1
51,12,2,DESIGN,"[""Battery Serial No"",""Warranty Duration""]",2025-04-18 10:14:20,1
52,15,18,testing,"[""Battery Serial No"",""Warranty Duration""]",2025-04-18 11:12:22,1
53,15,18,test,"[""Warranty Duration""]",2025-04-18 11:13:29,1
54,15,18,testing,"[""Warranty Start Date"",""Warranty Duration""]",2025-04-18 11:13:50,1
55,15,18,test,"[""Warranty Start Date"",""Warranty Duration""]",2025-04-18 11:14:35,1
56,7,18,test,"[""Battery Serial No"",""Warranty Duration""]",2025-04-18 11:18:25,1
