batteryClaimId,batteryId,reason,doneBy,claimNotes,resolveNotes,resolvedDate,createdOn,status
1,5,"Battery Failure, Reduced Performance",18,Testing Purpose Data,,,2025-04-14 15:15:17,2
2,11,Battery Failure,18,Testing Purpose,Testing Purpose,2025-04-15 10:14:04,2025-04-15 10:14:00,1
3,11,Reduced Performance,20,Testing Purpose,Testing Purpose Testing Purpose Testing Purpose,2025-04-15 10:14:33,2025-04-15 10:14:25,1
4,11,"Battery Failure, Reduced Performance",20,Testing PurposeTesting PurposeTesting PurposeTesting PurposeTesting PurposeTesting PurposeTesting Purpose,Testing PurposeTesting PurposeTesting PurposeTesting PurposeTesting PurposeTesting PurposeTesting PurposeTesting PurposeTesting PurposeTesting Purpose,2025-04-15 10:15:32,2025-04-15 10:15:00,1
5,11,Battery Failure,18,Testing PurposeTesting PurposeTesting PurposeTesting Purpose,Testing PurposeTesting PurposeTesting PurposeTesting Purpose,2025-04-15 10:16:19,2025-04-15 10:16:04,1
6,11,Reduced Performance,20,Testing PurposeTesting PurposeTesting Purpose,Testing Purpose,2025-04-15 10:16:52,2025-04-15 10:16:30,1
7,11,"Battery Failure, Reduced Performance",20,Testing PurposeTesting PurposeTesting PurposeTesting Purpose,Testing Purpose,2025-04-15 10:17:06,2025-04-15 10:16:59,1
8,11,Reduced Performance,20,Testing PurposeTesting PurposeTesting Purpose,Testing PurposeTesting PurposeTesting PurposeTesting PurposeTesting Purpose,2025-04-15 10:17:15,2025-04-15 10:17:11,1
9,11,Battery Failure,20,Testing PurposeTesting PurposeTesting Purpose,Testing Purpose,2025-04-15 10:17:24,2025-04-15 10:17:20,1
10,11,Battery Failure,20,Testing PurposeTesting PurposeTesting PurposeTesting PurposeTesting PurposeTesting Purpose,Testing Purpose,2025-04-15 10:18:02,2025-04-15 10:17:38,1
11,11,"Battery Failure, Reduced Performance",18,Testing PurposeTesting PurposeTesting Purpose,Testing PurposeTesting Purpose,2025-04-15 10:18:22,2025-04-15 10:18:12,1
12,11,Battery Failure,64,Testing Purpose,"When entering more than 200 characters in the Notes field while resolving a battery, no clear validation message is displayed. Instead, a toaster message stating ""Error occurred Please Try again "" is shown.ububububibibib",2025-04-16 07:16:54,2025-04-15 10:18:26,1
13,2,Battery Failure,18,Testing purpose ,"Yes, want to mark the claim as resolved.",2025-04-15 11:56:38,2025-04-15 11:54:24,1
14,2,"Battery Failure,Reduced Performance",18,Test,Yesterday at the end of the day.,2025-04-15 12:02:34,2025-04-15 12:01:36,1
15,2,Battery Failure,15,Test,sd,2025-04-17 09:19:17,2025-04-15 12:02:55,1
