deviceActivityId,deviceId,notes,action,doneBy,createdOn
1,1,,Tracker Created,18,2025-12-12 17:53:35
2,2,,Tracker Created,18,2025-12-12 17:53:46
3,3,,Tracker Created,18,2025-12-12 17:53:54
4,4,,Tracker Created,18,2025-12-12 17:54:11
5,5,,Tracker Created,18,2025-12-12 17:54:47
6,6,,Tracker Created,18,2025-12-12 12:45:12
7,7,,Tracker Created,18,2025-12-12 12:45:21
8,8,,Tracker Created,18,2025-12-12 12:45:31
9,9,,Tracker Created,18,2025-12-12 12:45:40
10,10,,Tracker Created,18,2025-12-12 12:45:49
11,11,,Tracker Created,18,2025-12-12 12:45:58
12,12,,Tracker Created,18,2025-12-12 12:46:07
13,13,,Tracker Created,18,2025-12-12 12:46:17
14,14,,Tracker Created,18,2025-12-12 12:46:29
15,15,,Tracker Created,18,2025-12-12 12:46:39
16,16,,Tracker Created,18,2025-12-12 12:46:48
17,17,,Tracker Created,18,2025-12-18 07:29:39
18,18,,Tracker Created,18,2025-12-18 08:48:12
19,1,"Tracker Serial number Changed.
",Tracker Data Updated,18,2026-02-23 05:56:33
20,2,"Tracker Serial Number Changed.
",Tracker Data Updated,18,2026-02-23 05:57:15
21,3,"Tracker Serial No Changed.


",Tracker Data Updated,18,2026-02-23 05:58:15
22,4,"Tracker Serial No Changed

",Tracker Data Updated,18,2026-02-23 06:03:26
23,5,"Tracker Serial No Changed

",Tracker Data Updated,18,2026-02-23 06:03:52
24,6,Tracker Serial No Changed,Tracker Data Updated,18,2026-02-23 06:05:26
25,7,"Tracker Serial No Changed

",Tracker Data Updated,18,2026-02-23 06:06:15
26,8,Tracker Serial No Changed,Tracker Data Updated,18,2026-02-23 06:12:19
27,9,"Tracker Serial No Changed

",Tracker Data Updated,18,2026-02-23 06:13:29
28,10,"Tracker Serial No Changed.


",Tracker Data Updated,18,2026-02-23 06:14:30
29,11,"Tracker Serial No Changed.

",Tracker Data Updated,18,2026-02-23 06:16:11
30,12,"Tracker Serial No Changed.

",Tracker Data Updated,18,2026-02-23 06:16:42
31,18,Tracker Serial No Updated.,Tracker Data Updated,18,2026-02-23 06:17:15
32,17,"Tracker Serial No Updated.

 ",Tracker Data Updated,18,2026-02-23 06:17:44
33,16,"Tracker Serial No Updated.

",Tracker Data Updated,18,2026-02-23 06:18:58
34,15,Tracker Serial No. Updated.,Tracker Data Updated,18,2026-02-23 06:19:28
35,14,"Tracker Serial No Updated

",Tracker Data Updated,18,2026-02-23 06:19:59
36,13,Tracker Serial No updated,Tracker Data Updated,18,2026-02-23 06:20:27
37,19,,Tracker Created,18,2026-03-06 11:54:48
38,19,Test added,Tracker Data Updated,18,2026-03-06 11:55:20
