deviceDataId,trolleyId,deviceEndpoint,firmwareVersion,momentDetection,timestamp,status,intervalTimeset,Accelerometer,wifiRTT,wifiGeoLocation,imsi,GPSLatitude,GPSLongitude,address,locationSource,OtaTrigger,batteryLevel,batteryFault
1,1,A,1310,YES,2025-12-12 13:15:28,1,60,"X: -117
 Y: 16
 Z: -1035",,,502122010424019,12.956358238374097,80.23708228110021,"DMart, Janaki Raman Nagar Rd, CMWSSB Division 186, Zone 14 Perungudi, Sholinganallur, Chennai, Tamil Nadu, 600096, India",GPS,0,99,2A: 0000  2B: 0000 2F: 0000
2,1,A,1310,YES,2025-12-12 13:17:28,1,60,"X: -117
 Y: 16
 Z: -1035",,,502122010424019,12.95616169888681,80.23756106514881,"Ward 186, Zone 14 Perungudi, Sholinganallur, Chennai, Tamil Nadu, 600096, India",GPS,0,98,2A: 0000  2B: 0000 2F: 0000
3,1,B,1310,YES,2025-12-12 13:21:28,1,60,"X: -117
 Y: 16
 Z: -1035",,,502122010424019,12.956617748135304,80.23735327009781,"Ward 186, Zone 14 Perungudi, Sholinganallur, Chennai, Tamil Nadu, 600096, India",GPS,0,98,2A: 0000  2B: 0000 2F: 0000
4,2,A,1310,YES,2025-12-12 13:24:28,1,60,"X: -117
 Y: 16
 Z: -1035",,,502122010424019,12.956358238374097,80.23708228110021,"DMart, Janaki Raman Nagar Rd, CMWSSB Division 186, Zone 14 Perungudi, Sholinganallur, Chennai, Tamil Nadu, 600096, India",GPS,0,99,2A: 0000  2B: 0000 2F: 0000
5,7,G,1310,YES,2025-12-15 05:57:28,1,60,"X: -117
 Y: 16
 Z: -1035",,,502122010424019,12.956358238374097,80.23708228110021,"DMart, Janaki Raman Nagar Rd, CMWSSB Division 186, Zone 14 Perungudi, Sholinganallur, Chennai, Tamil Nadu, 600096, India",GPS,0,99,2A: 0000  2B: 0000 2F: 0000
6,7,G,1310,YES,2025-12-15 07:06:28,1,60,"X: -117
 Y: 16
 Z: -1035",,,502122010424019,12.956204005342503,80.23745608790675,"DMart, Janaki Raman Nagar Rd, CMWSSB Division 186, Zone 14 Perungudi, Sholinganallur, Chennai, Tamil Nadu, 600096, India",GPS,0,99,2A: 0000  2B: 0000 2F: 0000
7,7,G,1310,YES,2025-12-15 07:10:28,1,60,"X: -117
 Y: 16
 Z: -1035",,,502122010424019,12.956614960518179,80.23735602737183,"DMart, Janaki Raman Nagar Rd, CMWSSB Division 186, Zone 14 Perungudi, Sholinganallur, Chennai, Tamil Nadu, 600096, India",GPS,0,95,2A: 0000  2B: 0000 2F: 0000
8,7,G,1310,YES,2025-12-15 07:15:28,1,60,"X: -117
 Y: 16
 Z: -1035",,,502122010424019,12.956594719487626,80.2365313362036,"Ward 186, Zone 14 Perungudi, Sholinganallur, Chennai, Tamil Nadu, 600096, India",GPS,0,93,2A: 0000  2B: 0000 2F: 0000
9,7,G,1310,YES,2025-12-15 07:16:28,1,60,"X: -117
 Y: 16
 Z: -1035",,,502122010424019,12.955982939090573,80.23645975389047,"DMart, Janaki Raman Nagar Rd, CMWSSB Division 186, Zone 14 Perungudi, Sholinganallur, Chennai, Tamil Nadu, 600096, India",GPS,0,91,2A: 0000  2B: 0000 2F: 0000
10,7,G,1310,YES,2025-12-15 07:24:28,1,60,"X: -117
 Y: 16
 Z: -1035",,,502122010424019,12.955982939090573,80.23645975389047,"DMart, Janaki Raman Nagar Rd, CMWSSB Division 186, Zone 14 Perungudi, Sholinganallur, Chennai, Tamil Nadu, 600096, India",GPS,0,91,2A: 0000  2B: 0000 2F: 0000
