historyId,geozoneId,deviceEndpoint,version,createdOn,status
1,49.0,TR1-9888E00961BC,1.0.1,2025-09-12 11:18:56,1
2,49.0,TR1-9888E0097B50,1.0.1,2025-09-12 11:18:56,1
3,58.0,TR1-9888E00963B8,1.0.1,2025-09-12 11:19:55,1
4,,TR1-B43A45346984,TR1@04092025,2025-09-17 01:38:36,1
5,,TR1-9888E0096210,TR1@04092025,2025-09-18 13:25:44,1
6,,TR1-9888E009619C,TR1@04092025,2025-09-18 13:29:24,1
7,0.0,TR1-9888E0096210,TR1@04092025,2025-09-19 16:26:28,1
8,0.0,TR1-9888E009619C,TR1@04092025,2025-09-19 16:28:51,1
9,,AplTracker-198,DEVICE OTA TEST,2025-09-22 05:53:49,1
10,,AplTracker-199,DEVICE OTA TEST,2025-09-22 05:57:28,1
12,0.0,TR1-9888E0096230,TR1@19092025,2025-09-24 02:12:06,1
13,0.0,TR1-9888E009623C,TR1@19092025,2025-09-24 07:07:38,1
17,0.0,TR1-9888E0096230,TR1@02102025,2025-10-03 11:11:12,1
18,115.0,TR1-9888E00963E4,TR1@02102025,2025-10-04 04:25:40,1
19,0.0,TR1-9888E00963E8,TR1@02102025,2025-10-06 00:57:26,1
20,115.0,TR1-9888E00963E4,TR1@29092025,2025-10-06 09:41:03,1
21,115.0,TR1-9888E0096910,TR1@29092025,2025-10-06 09:45:16,1
22,50.0,TR1-9888E0096910,TR1@02102025,2025-10-07 04:04:27,1
23,118.0,AplTracker-192,1310,2025-10-15 11:38:39,1
24,118.0,1310Trackers,1310,2025-10-15 11:40:35,1
25,119.0,AplTracker-198,1310,2025-10-15 12:45:46,1
26,119.0,AplTracker-131,1310,2025-10-15 12:54:27,1
27,119.0,AplTracker-132,1310,2025-10-15 12:54:34,1
28,119.0,AplTracker-133,1310,2025-10-15 12:54:40,1
29,119.0,AplTracker-134,1310,2025-10-15 12:54:46,1
30,119.0,AplTracker-135,1310,2025-10-15 12:54:51,1
31,119.0,AplTracker-136,1310,2025-10-15 12:54:56,1
32,119.0,AplTracker-137,1310,2025-10-15 12:55:01,1
33,119.0,AplTracker-138,1310,2025-10-15 12:55:05,1
34,119.0,AplTracker-139,1310,2025-10-15 12:55:12,1
35,119.0,AplTracker-140,1310,2025-10-15 12:56:12,1
36,0.0,AplTracker-185,1310,2025-12-08 15:13:38,1
37,78.0,TR1-9888E0-TEST-2,1310,2025-12-09 10:13:42,1
38,0.0,TR1-9888E0-TE,1310,2025-12-09 16:30:03,1
39,79.0,TR1-9888E0-TES2,1310,2025-12-10 06:14:48,1
40,0.0,A5-Tracker,1310,2025-12-10 09:51:50,1
41,0.0,A3-Tracker,1310,2025-12-10 15:49:20,1
42,78.0,TRACKER-B003,1310,2025-12-11 07:12:11,1
43,0.0,TRACKER-B002,1310,2025-12-11 12:02:33,1
44,78.0,TRACKER-B004,1310,2025-12-11 13:22:14,1
45,0.0,TRACKER-B001,1310,2025-12-12 07:27:38,1
46,78.0,A,1310,2025-12-12 18:03:52,1
47,78.0,B,1310,2025-12-12 18:12:03,1
48,78.0,C,1310,2025-12-12 18:13:52,1
49,78.0,D,1310,2025-12-12 18:22:35,1
50,78.0,E,1310,2025-12-12 18:24:02,1
51,78.0,G,1310,2025-12-15 05:58:16,1
52,78.0,JTR1-1376B00495E1,1310,2026-02-23 10:24:52,1
53,78.0,KTR1-4827A00359D2,1310,2026-02-23 10:33:40,1
54,78.0,HTR1-8254C00129D6,1310,2026-02-23 10:39:23,1
55,80.0,ITR1-4902F00864A5,1310,2026-02-24 05:44:38,1
56,78.0,FTR1-7084E00952F7,1310,2026-02-24 05:48:00,1
57,48.0,CTR1-8891F00237A9,1310,2026-02-24 05:58:23,1
