tagId,tag,createdOn,modifiedOn,status
1,ABCD,2025-04-13 03:48:45,2025-04-13 03:48:45,1
2,MTB Ground Tags,2025-04-15 01:56:27,2025-04-15 06:03:00,1
3,MTB Arrival Tags,2025-04-15 06:02:51,2025-04-15 06:02:51,1
4,MTB DEP Tags,2025-04-15 06:19:52,2025-04-15 06:19:52,1
5,FKP Car Park,2025-04-17 06:01:40,2025-04-17 06:01:40,1
6,CP Tags,2025-04-18 06:02:57,2025-04-18 06:02:57,1
7,Nik House,2025-04-30 12:19:04,2025-04-30 12:19:04,1
8,Ground Floor Parking,2025-05-06 04:13:38,2025-05-06 04:13:38,1
9,FKP Third Floor,2025-05-06 06:39:43,2025-05-06 06:40:12,1
10,FKP Third Floor 2.0,2025-05-07 07:26:05,2025-05-07 07:26:05,1
11,MTB Departure ,2025-05-28 07:34:22,2025-05-28 07:34:22,1
12,Main Terminal Building KLIA,2025-05-29 06:34:29,2025-05-29 06:34:29,1
13,USIM Tag,2025-05-30 10:30:14,2025-05-30 10:30:14,1
14,CAR PARK STCP BLOCK B ,2025-06-25 03:11:56,2025-06-25 03:11:56,1
15,CAR PARK STCP BLOCK A,2025-07-16 04:04:06,2025-07-16 04:04:06,1
16,CAR PARK STCP BLOCK B LVL 2,2025-07-16 04:39:17,2025-07-16 04:39:17,1
17,ALPS - Building 1,2025-07-17 00:45:09,2025-07-17 00:45:09,1
18,MTB Level 2,2025-07-21 02:02:27,2025-07-21 02:02:27,1
19,CAR PARK BLOCK C,2025-07-21 06:54:14,2025-07-21 06:54:14,1
20,CAR PARK STCP BLOCK D,2025-07-21 08:27:49,2025-07-21 08:27:49,1
21,MTB Level 4,2025-07-22 03:56:28,2025-07-22 03:56:28,1
22,apltest,2025-08-05 09:12:26,2025-08-05 09:12:26,1
23,Canselori,2025-09-25 08:14:06,2025-09-25 08:14:06,1
24,FKP_Testing,2025-10-01 04:20:55,2025-10-01 04:20:55,1
25,Firmware Test,2025-10-01 13:02:48,2025-10-01 13:02:48,1
26,MTB,2025-10-03 08:01:50,2025-10-03 08:01:50,1
27,1310 Gtag,2025-10-13 12:34:25,2025-10-13 12:34:25,1
