wifiClaimId,wifiId,reason,doneBy,claimNotes,resolveNotes,resolvedDate,createdOn,status
73,5,Wifi Beacon Failure,64,wdqwd,Testing complete,2025-09-17 04:58:20,2025-09-16 13:10:29,1
74,6,Wifi Failure,64,Network range issue,The network router's chip has been changed.,2025-09-17 05:08:31,2025-09-17 05:06:41,1
75,7,Wifi Beacon Failure,106,fail,Done,2025-09-19 03:14:03,2025-09-19 03:13:29,1
76,8,Wifi Beacon Failure,106,fail,Resolved,2025-09-19 03:46:50,2025-09-19 03:45:27,1
77,9,Wifi Beacon Failure,106,casing broke,Done,2025-10-06 10:40:00,2025-09-19 03:45:52,1
78,8,Wifi Failure,106,beacon fail,Resolved done,2025-09-19 04:09:33,2025-09-19 04:07:23,1
79,5,Wifi Beacon Failure,106,wifi beacon fail,Fix,2025-10-06 10:40:30,2025-10-06 10:40:20,1
80,8,Wifi Failure,106,"Wifi fail
",Fix,2025-10-06 10:41:25,2025-10-06 10:41:14,1
81,8,Wifi Failure,68,"Test
",done,2025-10-06 11:37:26,2025-10-06 11:37:09,1
82,13,Wifi Failure,77,"Barcode 
(Testing purpose)",Test,2025-10-09 11:33:57,2025-10-09 11:33:09,1
83,13,Wifi Failure,77,Test,Yes,2025-10-21 09:02:01,2025-10-09 11:35:20,1
84,14,Wifi Beacon Failure,18,testing Data,test,2025-10-13 07:42:49,2025-10-13 07:37:49,1
85,14,Wifi Beacon Failure,77,Testing Warranty,Test,2025-10-14 09:57:40,2025-10-14 06:31:53,1
86,14,Wifi Failure,77,Test,,,2025-10-14 09:58:05,2
87,13,Wifi Failure,77,Test,,,2025-10-21 09:02:12,2
88,40,Wifi Failure,20,Testing Wifi beacon,I ,2025-12-12 07:24:31,2025-12-12 07:23:12,1
89,40,Wifi Beacon Failure,20,testing,Resolve the Wi-Fi beacon for testing purpose ,2025-12-12 07:25:16,2025-12-12 07:24:50,1
